Source,Target,Value
Australian Open,Adrian Quist,3
Roland Garros,Adriano Panatta,1
Roland Garros,Albert Costa,1
Wimbledon,Alejandro Olmedo,1
Australian Open,Alejandro Olmedo,1
Wimbledon,Andre Agassi,1
US Open,Andre Agassi,2
Australian Open,Andre Agassi,4
Roland Garros,Andre Agassi,1
Roland Garros,Andres Gimeno,1
Roland Garros,Andres Gomez,1
Wimbledon,Andy Murray,2
US Open,Andy Murray,1
US Open,Andy Roddick,1
Wimbledon,Arthur Ashe,1
US Open,Arthur Ashe,1
Australian Open,Arthur Ashe,1
Wimbledon,Ashley Cooper,1
US Open,Ashley Cooper,1
Australian Open,Ashley Cooper,2
Wimbledon,Bill Johnston,1
US Open,Bill Johnston,2
Wimbledon,Bjorn Borg,5
Roland Garros,Bjorn Borg,6
Wimbledon,Bobby Riggs,1
US Open,Bobby Riggs,2
Wimbledon,Boris Becker,3
US Open,Boris Becker,1
Australian Open,Boris Becker,2
Australian Open,Brian Teacher,1
Wimbledon,Budge Patty,1
Roland Garros,Budge Patty,1
Wimbledon,Carlos Alcaraz,1
US Open,Carlos Alcaraz,1
Roland Garros,Carlos Moya,1
Wimbledon,Charles Mckinley,1
Wimbledon,Chuck Mckinley,1
US Open,Daniil Medvedev,1
Wimbledon,Dick Savitt,1
Australian Open,Dick Savitt,1
US Open,Dominic Thiem,1
Wimbledon,Don Budge,2
US Open,Don Budge,2
Australian Open,Don Budge,1
Roland Garros,Don Budge,1
Wimbledon,Frank Arthur Sedgman,1
US Open,Frank Arthur Sedgman,2
Australian Open,Frank Arthur Sedgman,2
US Open,Frank Parker,2
Roland Garros,Frank Parker,2
Wimbledon,Frank Sedgman,1
US Open,Frank Sedgman,2
Australian Open,Frank Sedgman,2
US Open,Fred Stolle,1
Roland Garros,Fred Stolle,1
Roland Garros,Gaston Gaudio,1
Wimbledon,Goran Ivanisevic,1
US Open,Guillermo Vilas,1
Australian Open,Guillermo Vilas,2
Roland Garros,Guillermo Vilas,1
Roland Garros,Gustavo Kuerten,3
Wimbledon,Henri Cochet,2
US Open,Henri Cochet,1
Roland Garros,Henri Cochet,4
US Open,Ilie Nastase,1
Roland Garros,Ilie Nastase,1
US Open,Ivan Lendl,3
Australian Open,Ivan Lendl,2
Roland Garros,Ivan Lendl,3
Wimbledon,Jan Kodes,1
Roland Garros,Jan Kodes,2
Australian Open,Jannik Sinner,1
Wimbledon,Jaroslav Drobny,1
Roland Garros,Jaroslav Drobny,2
Wimbledon,Jean Borotra,2
Australian Open,Jean Borotra,1
Roland Garros,Jean Borotra,1
Australian Open,Jim Courier,2
Roland Garros,Jim Courier,2
Wimbledon,Jimmy Connors,2
US Open,Jimmy Connors,5
Australian Open,Jimmy Connors,1
