Player,Total_Titles,Total_Titles_Text,GS,GS_Text,ATP1000,ATP Finale,Olympics,ATP1000+Finale,ATP1000+Finale_Text,WR,W,Matches
Novak Djokovic,69,24 + 39 + 6 + 0,24,10 + 7 + 3 + 4,39,6,0,45,39 + 6,0.8344179320318149,1154,1383
Rafael Nadal,59,22 + 36 + 0 + 1,22,2 + 2 + 14 + 4,36,0,1,36,36 + 0,0.8221119773210489,1160,1411
Roger Federer,54,20 + 28 + 6 + 0,20,6 + 8 + 1 + 5,28,6,0,34,28 + 6,0.8153067678684377,1289,1581
Pete Sampras,30,14 + 11 + 5 + 0,14,2 + 7 + 0 + 5,11,5,0,16,11 + 5,0.767,767,1000
Roy Emerson,12,12 + 0 + 0 + 0,12,6 + 2 + 2 + 2,0,0,0,0,0 + 0,0.7769328263624842,1226,1578
Rod Laver,11,11 + 0 + 0 + 0,11,3 + 4 + 2 + 2,0,0,0,0,0 + 0,0.7777777777777778,1484,1908
Bjorn Borg,11,11 + 0 + 0 + 0,11,0 + 5 + 6 + 0,0,0,0,0,0 + 0,0.8175,654,800
Ivan Lendl,8,8 + 0 + 0 + 0,8,2 + 0 + 3 + 3,0,0,0,0,0 + 0,0.8160484481453444,1078,1321
Ken Rosewall,8,8 + 0 + 0 + 0,8,4 + 0 + 2 + 2,0,0,0,0,0 + 0,0.6971608832807571,1326,1902
Jimmy Connors,8,8 + 0 + 0 + 0,8,1 + 2 + 0 + 5,0,0,0,0,0 + 0,0.8089816571790006,1279,1581
